Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 01, 2020",133.61,135.63,129.73,135.63,12456564435,14966424710
"Apr 02, 2020",135.73,146.79,135.73,142.03,15322861686,15673960169
"Apr 03, 2020",142.11,146.9,139.62,142.09,13184603402,15682757538
"Apr 04, 2020",142.22,145.38,140.12,145.22,11946658257,16029973618
"Apr 05, 2020",145.26,146.13,142.1,143.55,11280993591,15847283514
"Apr 06, 2020",143.61,169.27,143.54,169.14,21636382525,18674571701
"Apr 07, 2020",169.15,175.2,164.2,165.1,21659346091,18231455422
"Apr 08, 2020",165.24,173.21,164.49,172.64,17063110836,19066388908
"Apr 09, 2020",172.76,172.9,167.99,170.81,14901696210,18866106818
"Apr 10, 2020",170.83,170.95,154.91,158.41,17980944616,17499250378
"Apr 11, 2020",158.54,161.17,155.3,158.22,13555089447,17479687023
"Apr 12, 2020",158.23,164.52,156.32,161.14,15123721386,17805206568
"Apr 13, 2020",160.72,160.75,151.61,156.28,16465282133,17270031992
"Apr 14, 2020",156.36,160.94,155.87,157.6,14723156630,17417697024
"Apr 15, 2020",157.57,160.71,152.8,153.29,14171753737,16943501886
"Apr 16, 2020",153.2,173.16,150.36,172.16,22910469236,19031693317
"Apr 17, 2020",172.28,174.28,169.75,171.64,16714684266,18976660194
"Apr 18, 2020",171.62,187.94,171.62,186.91,20160323443,20668075857
"Apr 19, 2020",186.86,188.1,180.12,181.61,19146038381,20084614446
"Apr 20, 2020",181.48,186.08,170.32,172.3,21266681335,19056520718
"Apr 21, 2020",172.02,175.18,170.55,172.74,16458767984,19107591182
"Apr 22, 2020",172.67,183.75,171.83,182.6,17994666395,20200984352
"Apr 23, 2020",182.62,189.09,180.34,185.03,21275740032,20472236139
"Apr 24, 2020",185.22,190.21,185.22,189.24,16788555028,20940434737
"Apr 25, 2020",189.21,196.79,188.46,195.52,18260969748,21637838417
"Apr 26, 2020",195.41,199.34,194.77,197.32,18335367012,21839976557
"Apr 27, 2020",197.48,199.55,193.45,197.22,18670194595,21832392036
"Apr 28, 2020",197.27,198.79,194.85,198.42,18217507467,21966890357
"Apr 29, 2020",198.47,218.45,198.12,216.97,26397548759,24023887081
"Apr 30, 2020",216.91,227.53,206.44,207.6,28089191904,22989647065
"Aug 01, 2020",345.8,388.85,343.59,385.2,14045259477,43144477508
"Aug 02, 2020",385.55,411.23,357.14,370.67,18909744275,41522323563
"Aug 03, 2020",371.13,396.51,369.34,386.3,12834648062,43277729882
"Aug 04, 2020",386.16,400.7,382.99,389.88,14086704221,43684129572
"Aug 05, 2020",389.71,406.3,386.22,401.59,12875466638,45002213069
"Aug 06, 2020",401.58,403.49,392.6,394.96,11304626458,44264836294
"Aug 07, 2020",395.23,398.25,367.94,379.51,12751687084,42538578850
"Aug 08, 2020",379.55,393.99,377.35,393.99,9342060531,44166324646
"Aug 09, 2020",395.31,399.74,385.83,391.12,9451065592,43850292041
"Aug 10, 2020",391.04,399.38,391.04,395.89,11685827893,44390142137
"Aug 11, 2020",395.89,398.48,370.86,380.38,12792218737,42656945169
"Aug 12, 2020",380.06,391.31,367.92,391.02,12408772745,43855501072
"Aug 13, 2020",390.84,432.9,379.71,428.74,18480303526,48091569052
"Aug 14, 2020",428.68,444.58,423.35,437.4,15064589987,49068474083
"Aug 15, 2020",437.56,441.75,429.87,433.35,12416067894,48620820125
"Aug 16, 2020",433.35,436.27,415.09,433.79,12168816874,48675162267
"Aug 17, 2020",433.97,442.73,422.65,429.53,13227089410,48203426751
"Aug 18, 2020",429.67,432.58,419.67,423.67,11978984079,47551407033
"Aug 19, 2020",423.74,427.02,396.68,406.46,13137391167,45625864918
"Aug 20, 2020",406.76,418.73,404.03,416.44,10043032427,46751356941
"Aug 21, 2020",416.15,418.64,387.44,389.13,11781796374,43690315907
"Aug 22, 2020",389.03,396.47,382.81,395.84,10131847985,44448918222
"Aug 23, 2020",395.56,396.49,385.04,391.38,8137303970,43954518396
"Aug 24, 2019",194.67,194.78,187.63,191.29,6249737982,20555802874
"Aug 25, 2019",191.23,192.16,184.96,186.84,5826017143,20080495261
"Aug 26, 2019",186.74,193.44,186.74,188.93,7207986636,20307338403
"Aug 27, 2019",188.95,188.96,185.47,187.52,6042327402,20158029984
"Aug 28, 2019",187.5,187.93,172.19,173.89,6696604087,18695530287
"Aug 29, 2019",173.96,174,167.17,169.52,7129569083,18227677831
"Aug 30, 2019",169.49,170.77,167.07,168.83,5776520220,18156660601
"Aug 31, 2019",168.89,174.32,167.8,172.47,5830212249,18549906272
"Dec 01, 2019",152.49,152.49,147.07,151.19,7102780298,16443650814
"Dec 02, 2019",151.18,152.12,147.61,149.06,6670561362,16214125032
"Dec 03, 2019",149.06,150.31,146,147.96,6204379850,16095928402
"Dec 04, 2019",147.92,150.68,145,146.75,7865937094,15966157442
"Dec 05, 2019",146.69,153.16,145.46,149.25,6745910228,16240052430
"Dec 06, 2019",149.4,149.67,147.61,149.19,6458766441,16235876301
"Dec 07, 2019",149.2,149.8,148.37,148.77,5911233284,16191247024
"Dec 08, 2019",148.74,152.39,148.31,151.26,6441727252,16464729150
"Dec 09, 2019",151.22,151.91,147.62,148.23,6744206747,16135631420
"Dec 10, 2019",148.18,148.56,144.91,146.27,6859512025,15924221614
"Dec 11, 2019",146.32,147.14,143.05,143.61,7037180049,15636405555
"Dec 12, 2019",143.62,145.75,141.44,145.6,7890383413,15855473988
"Dec 13, 2019",145.66,145.86,143.75,144.94,7264810247,15785338920
"Dec 14, 2019",144.95,145.53,142.43,142.87,7048066973,15560820323
"Dec 15, 2019",142.86,143.93,139.43,143.11,7235153411,15589117504
"Dec 16, 2019",143.14,143.22,132.46,133.61,8992282119,14555616655
"Dec 17, 2019",133.65,134.01,121.4,122.6,9057166141,13357486656
"Dec 18, 2019",122.66,133.39,119.78,133.09,11864518321,14501554620
